--disable-avs,--disable-swscale,--disable-lavf,--disable-ffms,--disable-gpac,--disable-lsmash,--enable-lto,--enable-debug,--enable-gprof,--enable-strip,--enable-pic,--disable-asm,--enable-shared,--enable-static,--enable-bashcompletion,--disable-cli,--disable-bashcompletion,--disable-opencl,--disable-gpl,--disable-thread,--disable-win32thread,--disable-interlaced,--system-libx264,--bit-depth=8,--bit-depth=10,--bit-depth=all,--chroma-format=400,--chroma-format=420,--chroma-format=422,--chroma-format=444,--chroma-format=all,binary-size,unit,nr-of-gadgets
false,false,false,false,true,false,true,false,true,false,true,true,false,false,false,false,true,false,false,false,false,false,true,false,true,false,false,true,false,false,false,3096112,bytes,106878
true,true,true,true,true,false,false,false,false,true,true,false,false,false,false,false,true,false,false,false,false,true,false,true,false,false,true,false,false,false,false,1704056,bytes,62065
false,true,true,true,false,false,false,true,true,false,true,true,false,false,false,false,true,false,false,true,true,false,true,false,false,false,false,false,true,false,false,3096112,bytes,106878
true,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,true,true,false,false,true,false,false,true,false,false,false,1718552,bytes,58537
true,false,false,false,false,true,false,true,true,false,true,true,false,false,false,false,false,false,false,true,false,true,true,true,false,false,false,false,false,false,false,3096112,bytes,106878
false,false,true,false,true,false,true,false,true,false,true,true,false,false,false,false,true,true,false,false,false,true,false,false,true,false,false,false,false,false,true,1629640,bytes,53806
true,false,true,true,false,true,false,false,false,true,true,false,false,false,false,false,true,true,true,true,false,true,false,true,false,false,false,false,false,true,false,1130520,bytes,44145
false,true,true,true,true,true,false,true,false,false,true,true,false,false,false,false,true,true,true,false,false,true,true,false,false,true,false,true,false,false,false,3096112,bytes,106878
true,true,true,true,false,false,true,false,false,false,true,true,false,false,false,false,true,true,false,true,true,false,false,false,false,true,false,true,false,false,false,2217328,bytes,76805
true,false,true,false,false,false,false,true,true,true,false,false,false,false,true,false,false,true,false,false,false,true,false,true,false,false,true,false,false,false,false,1415672,bytes,51251
true,false,false,false,false,true,true,false,true,true,true,true,false,false,true,false,false,true,true,false,true,false,true,false,false,false,false,true,false,false,false,3096112,bytes,106878
true,false,true,false,false,false,false,true,false,false,true,false,false,false,true,false,false,false,false,false,true,false,true,true,false,false,false,false,false,true,false,3096112,bytes,106878
false,false,false,false,false,true,false,false,false,true,true,false,false,false,false,false,true,false,true,false,false,false,true,false,true,false,false,false,false,false,true,3096112,bytes,106878
false,true,true,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false,false,true,false,5484032,bytes,53579
true,false,false,false,true,false,false,true,true,true,false,true,false,false,true,false,false,false,true,false,true,true,false,false,true,false,false,false,true,false,false,1173656,bytes,41550
true,false,true,false,true,false,false,true,false,true,true,true,false,false,true,false,false,false,true,true,true,true,true,false,false,true,false,false,true,false,false,3096112,bytes,106878
true,false,true,false,true,false,false,false,true,false,false,true,false,false,true,false,false,false,true,true,true,true,false,true,false,false,false,false,false,false,false,1671088,bytes,53229
false,true,true,true,true,true,true,false,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,false,false,true,false,false,false,true,false,2302360,bytes,77515
true,true,true,true,false,false,false,true,true,true,true,false,false,false,true,false,false,true,true,false,true,false,true,true,false,false,false,false,false,false,true,3096112,bytes,106878
false,false,true,false,false,true,true,false,false,false,false,true,false,false,true,false,false,true,true,true,true,false,false,false,false,false,false,true,false,false,false,1663296,bytes,59751
true,false,false,false,true,false,false,true,false,true,true,false,false,false,false,false,false,true,false,false,true,false,true,true,false,false,false,true,false,false,false,3096112,bytes,106878
false,true,true,true,true,false,false,true,false,false,false,true,false,false,true,false,false,false,true,false,false,false,false,false,false,true,false,false,true,false,false,8432808,bytes,64602
false,false,false,true,false,true,false,false,true,true,true,true,false,false,true,false,false,true,true,false,false,false,false,true,false,false,false,false,false,false,true,1013800,bytes,36816
true,false,false,false,true,false,false,true,true,false,true,true,false,false,true,false,false,true,true,true,false,true,true,false,true,false,true,false,false,false,false,3096112,bytes,106878
true,false,false,true,true,false,false,true,true,true,true,true,false,false,true,false,false,true,true,false,true,true,true,false,false,false,false,true,false,false,false,3096112,bytes,106878
true,false,true,false,true,true,true,false,false,true,true,false,false,false,true,false,false,true,true,true,true,false,true,false,false,true,false,false,true,false,false,3096112,bytes,106878
false,true,true,true,true,false,false,true,false,false,false,true,false,false,false,false,true,false,false,false,true,true,false,false,true,false,false,false,true,false,false,4577040,bytes,42421
false,false,true,false,false,true,true,false,false,false,true,false,false,false,false,false,false,true,false,true,false,true,true,false,false,true,false,false,true,false,false,3096112,bytes,106878
true,false,false,false,false,false,false,true,true,true,true,true,false,false,false,false,true,true,false,false,true,true,false,false,false,true,false,false,false,false,true,1829544,bytes,65724
false,false,true,false,false,true,false,true,true,false,true,false,false,false,true,false,false,false,false,false,true,true,true,true,false,false,false,false,true,false,false,3096112,bytes,106878
true,true,true,true,false,true,true,false,true,false,false,false,false,false,true,false,false,true,true,true,true,false,false,false,false,true,false,false,false,true,false,2218168,bytes,72943
true,false,false,true,true,false,true,false,true,false,true,true,false,false,false,false,true,false,true,true,true,false,false,true,false,false,false,false,false,false,false,1755144,bytes,57312
false,false,true,true,true,false,false,true,false,false,true,false,false,false,false,false,true,true,false,false,false,true,true,false,true,false,false,false,false,false,true,3096112,bytes,106878
false,false,true,false,true,false,true,false,false,false,true,false,false,false,false,false,true,true,false,true,true,true,false,true,false,false,false,false,false,false,true,1908656,bytes,67922
true,false,false,true,true,true,true,false,true,false,true,false,false,false,false,false,false,true,true,false,false,true,true,false,true,false,false,false,true,false,false,3096112,bytes,106878
true,false,false,false,false,false,false,true,false,true,true,true,false,false,false,false,true,true,false,false,false,false,true,false,false,true,true,false,false,false,false,3096112,bytes,106878
false,false,true,false,true,true,false,true,false,false,true,true,false,false,false,false,true,true,false,true,true,true,true,false,true,false,false,false,true,false,false,3096112,bytes,106878
true,false,false,false,false,true,true,false,true,true,false,true,false,false,false,false,true,false,true,false,false,true,false,false,true,false,false,true,false,false,false,894784,bytes,30703
true,true,true,true,false,false,true,false,false,true,true,false,false,false,true,false,false,false,true,true,false,false,false,false,false,true,false,false,false,true,false,2634008,bytes,95893
